ITEM: TIMESTEP
26200
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
41 125.85 
42 8.31358 
43 10.5449 
44 -112.163 
45 130.301 
46 -177.099 
47 62.3752 
48 -57.3442 
49 -110.356 
50 126.332 
51 8.08566 
52 -115.226 
53 123.369 
54 0.0573555 
55 -29.7741 
56 90.9716 
57 -142.116 
58 96.543 
59 -26.341 
60 -137.741 
61 99.3753 
62 -16.3998 
63 -17.2838 
64 -140.168 
65 104.057 
66 161.118 
67 -79.2439 
68 43.0207 
69 150.646 
70 27.7832 
71 -95.29 
72 -176.418 
73 -58.6418 
74 63.658 
75 -99.2469 
76 141.327 
77 21.9788 
78 -93.6274 
79 147.024 
80 25.7985 
81 25.6407 
82 -93.7077 
83 145.067 
84 96.5769 
85 -31.5149 
86 -142.04 
87 80.9433 
88 -39.1786 
89 -155.026 
90 175.818 
91 57.6357 
92 -63.5762 
93 175.064 
94 53.852 
95 -66.7537 
96 -66.3781 
97 172.41 
98 51.8044 
99 -171.773 
100 -52.589 
101 65.6096 
102 148.133 
103 28.0217 
104 -89.7312 
105 151.041 
106 -91.4769 
107 36.1668 
108 86.3336 
109 -35.8604 
110 -156.318 
111 85.2948 
112 -35.1631 
113 -152.511 
114 -155.002 
115 84.5396 
116 -32.8085 
ITEM: TIMESTEP
27300
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
1 26.1652 
2 -89.5905 
3 148.066 
4 -177.335 
5 64.8967 
6 -55.7602 
7 93.0494 
8 92.3686 
9 -27.6334 
10 -148.898 
11 -148.969 
12 91.0289 
13 -30.236 
14 -25.6837 
15 -145.686 
16 158.33 
17 37.4418 
18 -82.6399 
19 146.509 
20 26.4268 
21 -92.603 
22 -82.1884 
23 157.73 
24 38.7001 
25 -169.776 
26 -47.0685 
27 73.0471 
28 -170.099 
29 67.8112 
30 -47.6439 
31 84.878 
32 -155.675 
33 -38.7507 
34 -149.805 
35 -34.0821 
36 84.8043 
37 -100.868 
38 137.792 
39 22.0879 
40 -100.96 
41 143.336 
42 20.3801 
43 13.2886 
44 -102.415 
45 134.629 
46 -156.122 
47 86.9462 
48 -37.2345 
49 171.945 
50 55.2237 
51 -68.2433 
52 175.036 
53 56.0674 
54 -60.6538 
55 -6.41504 
56 108.88 
57 -144.378 
58 93.6252 
59 -24.4478 
60 -148.027 
61 93.9002 
62 -26.0296 
63 -24.5168 
64 -142.59 
65 97.4804 
66 155.173 
67 -82.6101 
68 35.3826 
69 109.021 
70 -10.6637 
71 -130.262 
72 -177.068 
73 -46.6981 
74 64.3596 
75 -77.2812 
76 152.137 
77 37.5129 
78 -75.533 
79 169.842 
80 55.0483 
81 39.4235 
82 -75.201 
83 170.005 
84 103.835 
85 -25.002 
86 -140.067 
87 99.451 
88 -22.2793 
89 -138.934 
90 155.416 
91 33.173 
92 -79.2124 
